QUARTER,MONTH,DAY_OF_WEEK,DEP_DEL15,ARR_DEL15
1,1,4,1.0,0.0
1,1,5,1.0,1.0
1,1,6,1.0,1.0
1,1,7,1.0,1.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,7,1.0,0.0
1,1,1,0.0,0.0
1,1,2,1.0,1.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,1.0,1.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,1.0,0.0
1,1,1,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,1.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,1.0,1.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,1.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,1.0,1.0
1,1,2,1.0,1.0
1,1,3,1.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,,
1,1,2,,
1,1,3,0.0,1.0
1,1,4,1.0,1.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,1.0,1.0
1,1,3,0.0,0.0
1,1,4,1.0,1.0
1,1,5,1.0,1.0
1,1,6,1.0,1.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,1.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,1.0,1.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,,
1,1,3,,
1,1,4,1.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,1.0,1.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,1.0,1.0
1,1,2,1.0,1.0
1,1,3,0.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,1.0,1.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,,
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,1.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,1.0
1,1,6,1.0,1.0
1,1,7,1.0,1.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,1.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,1.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,1.0
1,1,5,0.0,1.0
1,1,6,0.0,0.0
1,1,7,1.0,1.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,0.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,1.0,0.0
1,1,1,,
1,1,2,,
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,2,1.0,1.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,4,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,4,1.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,4,0.0,0.0
1,1,1,0.0,0.0
1,1,6,1.0,1.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,1,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,5,1.0,1.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,1,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,4,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,7,0.0,0.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,4,1.0,1.0
1,1,5,0.0,0.0
1,1,1,1.0,1.0
1,1,7,0.0,0.0
1,1,2,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,2,1.0,1.0
1,1,4,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,6,0.0,0.0
1,1,4,1.0,1.0
1,1,5,0.0,0.0
1,1,7,0.0,0.0
1,1,2,,
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,1.0
1,1,6,,
1,1,7,,
1,1,1,1.0,1.0
1,1,2,,
1,1,3,1.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,0.0
1,1,6,0.0,1.0
1,1,7,0.0,0.0
1,1,1,1.0,1.0
1,1,2,1.0,1.0
1,1,3,1.0,1.0
1,1,4,0.0,1.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,1.0,1.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,1.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,1.0,1.0
1,1,7,0.0,0.0
1,1,1,,
1,1,2,,
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,,
1,1,2,0.0,0.0
1,1,3,1.0,1.0
1,1,4,,
1,1,5,,
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,,
1,1,4,,
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,1.0
1,1,2,0.0,0.0
1,1,3,,
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,,
1,1,7,0.0,0.0
1,1,1,0.0,1.0
1,1,2,,
1,1,3,,
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,1.0,1.0
1,1,7,,
1,1,1,1.0,1.0
1,1,2,1.0,1.0
1,1,3,1.0,1.0
1,1,4,0.0,0.0
1,1,5,1.0,0.0
1,1,6,1.0,1.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,1.0
1,1,4,1.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,1.0,1.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,1.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,,
1,1,2,,
1,1,3,0.0,1.0
1,1,4,0.0,1.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,7,0.0,1.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,1.0
1,1,5,,
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,1.0
1,1,4,0.0,1.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,1,0.0,1.0
1,1,2,,
1,1,3,,
1,1,4,0.0,0.0
1,1,5,1.0,1.0
1,1,6,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,1.0,1.0
1,1,1,1.0,1.0
1,1,4,0.0,0.0
1,1,7,0.0,0.0
1,1,4,0.0,0.0
1,1,4,1.0,1.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,6,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,5,0.0,0.0
1,1,1,1.0,1.0
1,1,1,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,7,1.0,0.0
1,1,6,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,1.0,1.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,1.0,1.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,1.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,6,0.0,0.0
1,1,3,1.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,5,0.0,0.0
1,1,6,1.0,1.0
1,1,6,1.0,1.0
1,1,1,1.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,0.0,0.0
1,1,1,1.0,1.0
1,1,1,0.0,1.0
1,1,1,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,1.0,1.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,1.0,1.0
1,1,7,0.0,0.0
1,1,1,0.0,0.0
1,1,1,,
1,1,3,1.0,1.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,1.0,1.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,3,0.0,0.0
1,1,7,0.0,1.0
1,1,7,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,,
1,1,2,,
1,1,2,,
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,1.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,1.0,1.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,4,1.0,1.0
1,1,4,1.0,1.0
1,1,4,0.0,0.0
1,1,4,0.0,0.0
1,1,7,1.0,1.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
1,1,7,0.0,0.0
